time,norm,mean_x,mean_y,mean_z,mean_r,kinetic_energy,potential_energy,total_energy,captured_probability,reflected_probability,transmitted_probability
0.22,0.9625284112010535,-23.682017292514864,1.1238021203401758e-15,8.858374581122141e-16,24.03363806776277,0.343953504160265,-0.04677808383587063,0.29717542032439437,6.501358728807267e-07,0.5404553563679114,0.42207240469726914
0.23,0.961756029362607,-23.651966454805198,9.160525117088765e-16,7.583801351366737e-16,24.00347136658109,0.3436390886937948,-0.04676535780315364,0.2968737308906411,7.115386980090501e-07,0.5387747574276773,0.42298056039623144
0.24,0.9610213151106621,-23.623110957992072,1.088777277102663e-15,8.563455112464156e-16,23.974511098882196,0.3433380799023018,-0.04675399318863051,0.2965840867136713,7.756801414742455e-07,0.5371318532464108,0.4238886861841101
0.25,0.9603216215388022,-23.595366569680294,1.4961830312737242e-15,1.0876585651716442e-15,23.946672290494455,0.34304967411201676,-0.046743895849672944,0.29630577826234383,8.425452701259977e-07,0.5355240012867316,0.42479677770680035
0.26,0.9596545015926802,-23.568655467334537,1.3354860411253058e-15,1.0080906729414764e-15,23.919876432743997,0.34277312616166705,-0.04673497869826395,0.2960381474634031,9.121177856890977e-07,0.5339487585957017,0.4257048308791928
0.27,0.9590176900257472,-23.54290564781453,1.3795034324900692e-15,1.0784360031323617e-15,23.89405088705882,0.34250774382106464,-0.04672716107728466,0.29578058274378,9.843800708100983e-07,0.5324038638017335,0.4266128418439429
0.28,0.9584090875648716,-23.518050411004456,1.3862327372900056e-15,1.2623343764899777e-15,23.869128364257033,0.34225288291908007,-0.04672036821112808,0.295532514707952,1.0593132316457013e-06,0.5308872213159597,0.4275208069356801
0.29,0.9578267469297124,-23.49402790540955,1.3671626115859422e-15,1.2734282669698636e-15,23.84504646629835,0.3420079430711241,-0.04671453071887778,0.2952934123522463,1.1368971374416425e-06,0.529396887382676,0.42842872264989873
0.3,0.9572688604160811,-23.47078072586751,1.5062291615176283e-15,1.3444058504079514e-15,23.82174728057041,0.34177236391531235,-0.04670958418046513,0.29506277973484724,1.2171104574888603e-06,0.5279310576897263,0.4293365856158972
0.31,0.9567337488067623,-23.448255555346652,1.5466256336584807e-15,1.4918816128752891e-15,23.79917701861923,0.3415456217819681,-0.04670546874796347,0.2948401530340047,1.2999306957944645e-06,0.5264880563028369,0.4302443925732293
0.32,0.9562198514160578,-23.426402844266764,1.4857831474738604e-15,1.426524200476857e-15,23.777285692708872,0.34132722673375093,-0.04670212879558321,0.2946250979381677,1.3853342237583313e-06,0.5250663257306298,0.43115214035120414
