time,norm,mean_x,mean_y,mean_z,mean_r,kinetic_energy,potential_energy,total_energy,captured_probability,reflected_probability,transmitted_probability
1.27,0.8832499677324811,-22.351496913069287,1.0381129410947333e-14,1.1092204047080452e-14,22.665916125398514,0.3060650762765497,-0.04136470283127779,0.2647003734452719,1.0801303214734517e-07,0.6121837324899987,0.27106612722945045
1.28,0.8827756324020285,-22.34405021489913,1.0309816610519678e-14,1.1007460812039213e-14,22.658257606615656,0.30590852176217387,-0.04133181375390242,0.26457670800827143,1.106777745576032e-07,0.6125668798355929,0.27020864188866106
1.29,0.8823020976325717,-22.336622024481276,1.0505333085398631e-14,1.1233394361880716e-14,22.6506181062261,0.30575169871844315,-0.04129897450982007,0.2644527242086231,1.1337737427071783e-07,0.6129496282795637,0.2693523559756338
1.3,0.8818293298114084,-22.32921132152651,1.0642034491707443e-14,1.1353154059557309e-14,22.64299659361325,0.30559459755083945,-0.04126618382179343,0.26432841372904603,1.1611163941473761e-07,0.61333194210712,0.2684972715926488
1.31,0.8813572959819157,-22.321817105434196,1.0666425612144925e-14,1.146798407698727e-14,22.635392058041884,0.3054372088697861,-0.04123344043753037,0.26420376843225574,1.1888036585647988e-07,0.6137137862271018,0.267643390874448
1.32,0.8808859638275854,-22.31443839480806,1.07975845981569e-14,1.1577963773631637e-14,22.627803508169286,0.30527952348728327,-0.041200743129083506,0.26407878035819976,1.2168333724525188e-07,0.6140951261557283,0.2667907159885197
1.33,0.8804153016566137,-22.307074226989204,1.0791874127358554e-14,1.1557376590461858e-14,22.620229971573632,0.3051215324136401,-0.04116809069227026,0.2639534417213698,1.2452032506167762e-07,0.6144759280009163,0.26593924913537254
1.34,0.8799452783870247,-22.29972365760528,1.102511740883745e-14,1.1617724986158416e-14,22.61267049429886,0.3049632268542985,-0.041135481946112586,0.2638277449081859,1.273910886715524e-07,0.6148561584471393,0.2650889925487967
1.35,0.8794758635322983,-22.292385760135375,1.1115667946617135e-14,1.170609426076743e-14,22.605124140415242,0.3048045982067429,-0.04110291573229578,0.2637016824744471,1.3029537538474386e-07,0.6152357847408068,0.2642399484961163
1.36,0.8790070271874859,-22.285059625489698,1.1095830405189044e-14,1.1809448028184634e-14,22.597589991595015,0.30464563805749173,-0.04107039091464491,0.2635752471428468,1.332329205190976e-07,0.6156147746761382,0.26339211927842704
1.37,0.8785387400157862,-22.27774436160358,1.1413461808107712e-14,1.191256959573226e-14,22.59006714670238,0.30448633817916615,-0.041037906378618816,0.26344843180054733,1.3620344746928058e-07,0.6159930965815141,0.262545507230825
1.3800000000000001,0.878070973235572,-22.27043909304505,1.141416757220121e-14,1.2048173852390953e-14,22.582554721397255,0.30432669052763,-0.04100546103082033,0.2633212294968097,1.3920666778059882e-07,0.6163707193062816,0.2617001147226227
1.3900000000000001,0.8776036986078337,-22.26314296063541,1.1408165385485003e-14,1.2139923284677267e-14,22.57505184775215,0.3041666872392008,-0.04097305379852255,0.26319363344067825,1.4224228122766186e-07,0.6167476122079983,0.2608559441575541
1.4000000000000001,0.877136888424035,-22.255855121082373,1.1410220723708774e-14,1.2248341332925163e-14,22.56755767388169,0.3040063206279249,-0.04094068362921004,0.2630656369987148,1.4530997589791425e-07,0.6171237451400916,0.26001299797396765
1.41,0.8766705154943579,-22.24857474662506,1.1532494045347172e-14,1.2323614402778864e-14,22.560071363584132,0.3038455831829143,-0.04090834949013464,0.26293723369277966,1.4840942827997312e-07,0.6174990884399214,0.2591712786450083
1.42,0.87620455313632,-22.241301024690465,1.1572415109362587e-14,1.2411106625517371e-14,22.55259209599448,0.3036844675657435,-0.040876050367885254,0.26280841719785825,1.5154030335675048e-07,0.6178736129172294,0.2583307886787872
1.43,0.8757389751637503,-22.23403315756088,1.1632933851424742e-14,1.2578659911353231e-14,22.545119065248624,0.30352296660790173,-0.04084378526797072,0.262679181339931,1.5470225470323915e-07,0.6182472898429545,0.2574915306185411
1.44,0.8752737558761091,-22.226770362051827,1.1731211241753496e-14,1.2669053772944003e-14,22.53765148015812,0.303361073308298,-0.04081155321441585,0.2625495200938821,1.57894924589025e-07,0.6186200909384064,0.2566535070427782
1.45,0.8748088700481376,-22.21951186920006,1.1951155606875716e-14,1.2800172084699182e-14,22.530188563895127,0.30319878083081775,-0.040779353249369404,0.2624194275814483,1.6111794408537696e-07,0.618991988364779,0.25581672056541443
1.46,0.8743442929198216,-22.212256923961252,1.1908477380421524e-14,1.284836781092919e-14,22.522729553687096,0.3030360825019281,-0.04074718443272414,0.26228889806920397,1.6437093317693735e-07,0.6193629547129915,0.254981173835897
1.47,0.8738800001866628,-22.205004784916948,1.2047375908641631e-14,1.301208260308578e-14,22.515273700520844,0.30287297180832845,-0.04071504584174798,0.2621579259665805,1.6765350087786207e-07,0.6197329629938458,0.25414686953931614
1.48,0.8734159679902376,-22.197754723990396,1.2207374989022123e-14,1.320793246097195e-14,22.50782026885563,0.30270944239464626,-0.040682936570726316,0.26202650582391995,1.7096524535249854e-07,0.6201019866284861,0.25331381039650613
1.49,0.8729521729090396,-22.19050602617099,1.2467798878284002e-14,1.3206985959402248e-14,22.500368536344805,0.30254548806117504,-0.04065085573061446,0.2618946323305606,1.743057540403966e-07,0.6204699994391517,0.2524819991641338
1.5,0.8724885919495886,-22.18325798924686,1.2322977356796184e-14,1.3400138340944085e-14,22.492917793565827,0.3023811027616528,-0.040618802448700524,0.2617623003129523,1.7767460378568672e-07,0.6208369756402082,0.2516514386347764
1.51,0.8720252025378,-22.17600992354546,1.2482441196270717e-14,1.3380863538962092e-14,22.48546734375823,0.3022162806010798,-0.0405867758682777,0.2616295047328021,1.8107136097071384e-07,0.6212028898294524,0.2508221316369868
1.52,0.8715619825106047,-22.168761151681604,1.2539570072959023e-14,1.3485457379366524e-14,22.478016502569236,0.3020510158335738,-0.04055477514832597,0.26149624068524785,1.844955816539254e-07,0.6215677169796748,0.24999408103534806
